,kalori,protein,karbohidrat,lemak
Ikan Belut Segar goreng,417.0,25.9,32.0,19.4
Ikan Belut Segar mentah,82.0,6.7,10.9,1.0
Ikan Beunteur,66.0,14.0,0.0,0.0
Ikan biawan segar,90.0,14.9,2.1,2.5
Ikan bili segar,88.0,14.2,6.2,0.7
Ikan bubara segar,100.0,14.7,4.9,2.4
Ikan bulan-bulan segar,134.0,25.5,5.0,1.3
Ikan cakalang asap mentah,204.0,34.2,1.9,5.6
Ikan cakalang asin mentah,198.0,36.5,5.5,2.2
Ikan cakalang hati segar,120.0,11.3,10.0,3.9
Ikan cakalang jantung segar,116.0,11.2,10.2,1.2
Ikan cakalang perut segar,86.0,10.2,8.7,1.1
Ikan cakalang segar,107.0,19.6,5.5,0.7
Ikan calo/ peda mentah,81.0,11.4,3.8,1.9
Ikan daun segar,101.0,11.5,4.6,4.1
Ikan Ekor Kuning,109.0,17.0,0.0,4.0
Ikan Gabus asap mentah,261.0,38.1,21.9,2.3
Ikan Gabus kering,292.0,58.0,0.0,4.0
Ikan Gabus segar,74.0,25.2,0.0,1.7
Ikan gete goreng,267.0,23.1,0.2,19.4
Ikan hitam segar,101.0,10.3,6.7,3.7
Ikan hiu kering,298.0,46.3,20.2,3.6
Ikan hiu segar,57.0,10.7,2.2,0.3
Ikan kacangan segar,77.0,15.6,1.6,0.9
Ikan kakap segar,92.0,20.0,0.0,0.7
Ikan kakatua segar,82.0,11.4,6.4,1.2
Ikan kapar segar,132.0,17.0,0.8,6.7
Ikan katombo asin,162.0,31.7,0.3,2.8
Ikan kawalinya segar,110.0,12.6,5.4,4.2
Ikan kayu kering,302.0,70.7,0.4,1.9
Ikan Kembung,103.0,22.0,0.0,1.0
Ikan kima segar,70.0,10.8,5.2,0.7
Ikan Lais bakar,147.0,17.5,5.4,6.5
Ikan Layang,109.0,22.0,0.0,1.7
Ikan layur segar,82.0,18.0,0.4,1.0
Ikan lehoma segar,90.0,20.4,0.0,0.9
Ikan Lele goreng,252.0,19.9,0.0,19.1
Ikan Lemuru,112.0,20.0,0.0,3.0
Ikan lidah segar,104.0,15.6,2.0,3.2
Ikan lomak asin mentah,258.0,40.3,18.9,2.3
Ikan malalugis segar,99.0,20.6,0.9,1.4
Ikan Mas,86.0,16.0,0.0,2.0
Ikan Mas goreng,188.0,19.3,0.0,12.2
Ikan Mas pepes,209.0,15.2,11.8,11.3
Ikan mayong segar,97.0,17.9,0.4,2.0
Ikan Mujair dendeng goreng,598.0,74.3,9.2,26.9
Ikan Mujair dendeng mentah,582.0,68.3,37.2,15.2
Ikan Mujair goreng,416.0,46.9,0.0,23.9
Ikan Mujair pepes,121.0,21.7,0.8,2.8
Ikan Mujair segar,89.0,18.7,0.0,1.0
Ikan nasu metti segar,154.0,16.8,10.5,5.0
Ikan oci kembung segar,125.0,21.3,2.2,3.4
Ikan Papuyu bakar,152.0,17.6,6.7,6.1
Ikan papuyu/ betok segar,120.0,14.3,4.6,4.9
Ikan Patin bakar,144.0,17.5,4.3,6.3
Ikan Patin segar,132.0,17.0,1.1,6.6
Ikan peda banjar mentah,156.0,28.0,2.0,4.0
Ikan Pepetek,176.0,32.0,0.0,4.4
Ikan Pindang banjar mentah,157.0,28.0,1.8,4.2
Ikan Pindang benggol mentah,170.0,31.0,0.0,4.2
Ikan Pindang layang mentah,153.0,30.0,0.0,2.8
Ikan Pindang selar mentah,142.0,27.0,0.0,3.0
Ikan sale lais mentah,415.0,61.3,2.9,17.6
Ikan Sale segar,534.0,40.2,4.9,39.3
Ikan saluang kering mentah,284.0,34.1,14.6,9.9
Ikan saluang segar,113.0,13.9,3.4,4.9
Ikan sanggang masakan,240.0,21.7,20.7,7.7
Ikan sarden segar,109.0,19.9,3.4,1.8
Ikan Segar,113.0,17.0,0.0,4.5
Ikan Selar kering,194.0,38.0,0.0,3.5
Ikan selar kuning cue mentah,138.0,27.0,0.0,3.3
Ikan selar segar,100.0,18.8,0.0,2.2
Ikan Sepat kering,289.0,38.0,0.0,14.0
Ikan sepat segar,84.0,15.2,4.7,0.6
Ikan sidat segar,81.0,11.4,3.8,1.9
Ikan sunu asin mentah,199.0,34.1,7.1,3.8
Ikan sunu segar,111.0,13.3,6.7,3.4
Ikan tahuman segar,88.0,15.9,4.1,0.9
Ikan tarmon segar,96.0,19.5,2.0,1.1
Ikan telan segar,95.0,15.8,6.5,0.7
Ikan telur asin mentah,358.0,20.7,9.4,26.4
Ikan Tembang,204.0,16.0,0.0,15.0
Ikan tempahas segar,101.0,15.1,1.0,4.1
Ikan tepung mentah,316.0,60.1,22.4,6.5
Ikan terbang segar,98.0,19.6,1.0,1.7
Ikan Teri bubuk,277.0,60.0,1.8,2.3
Ikan Teri kering,170.0,33.4,0.0,3.0
Ikan Teri Kering tawar,331.0,68.7,0.0,4.2
Ikan Teri Nasi kering,144.0,32.5,0.0,0.6
Ikan teri segar,74.0,10.3,4.1,1.4
Ikan Teri tepung,347.0,48.8,19.6,6.4
Ikan titang segar,82.0,17.4,2.3,0.4
Ikan tongkol segar,100.0,13.7,8.0,1.5
Ikan turi segar,96.0,19.2,0.2,2.0
Intip goreng,474.0,7.6,62.3,21.6
Itik alabio daging dendeng mentah,496.0,30.3,18.4,33.5
Jagung grontol,156.0,2.7,33.3,1.3
Jagung Kuning giling,361.0,8.7,72.4,4.5
Jagung Kuning muda,129.0,4.1,30.3,1.3
Jagung Kuning pipil baru,307.0,7.9,63.6,3.4
Jagung kuning pipil kering mentah,366.0,9.8,69.1,7.3
